Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;-4.184124835258289728e-04
3.263391111690342461e-01;-2.927899709718594524e-03
4.566662322429296816e-01;-4.409489590037151893e-03
5.869933533168251172e-01;-4.770501988711506672e-03
7.173204743907206637e-01;-6.880519713230330570e-03
8.476475954646162103e-01;-6.468994756404556658e-03
9.779747165385117569e-01;-6.774039801484713162e-04
1.108301837612407192e+00;2.997719119497853704e-03
1.238628958686302628e+00;4.752285110061356919e-03
1.368956079760198064e+00;6.419106123440949246e-03
1.499283200834093499e+00;7.623983702393975423e-03
1.629610321907988935e+00;-1.467214913075409223e-04
1.759937442981884370e+00;-3.733916734249606746e-03
1.890264564055779806e+00;-8.016688963174296509e-03
2.020591685129675241e+00;-1.502402055033639008e-02
2.150918806203570455e+00;-1.461249559351061530e-02
2.281245927277465668e+00;-1.542552163709963106e-02
2.411573048351361326e+00;-1.757177387295132467e-02
2.541900169425256983e+00;-1.675208338416750431e-02
2.672227290499152197e+00;-1.847639218772597486e-02
2.802554411573048299e+00;-2.951130818506673623e-02
2.932881532646943956e+00;-1.981968584743180883e-02
3.063208653720839170e+00;-9.602248096676481784e-03
3.193535774794734827e+00;-1.152473753966153959e-02
3.323862895868630485e+00;6.391280573473006980e-03
3.454190016942525698e+00;1.170027317553444350e-02
3.584517138016421356e+00;-1.594352329508304592e-03
3.714844259090317014e+00;-1.674819751137963941e-02
3.845171380164212227e+00;-1.892829798533857133e-02
3.975498501238107885e+00;-1.736819294183960388e-02
4.105825622312003098e+00;-9.837222650355864281e-03
4.236152743385898312e+00;-3.108221801796452136e-03
4.366479864459794413e+00;9.764899838040215193e-04
4.496806985533689627e+00;1.175360662015354288e-03
4.627134106607584840e+00;1.900910785895196936e-02
4.757461227681480942e+00;1.596539622785510260e-02
4.887788348755376155e+00;2.035137047055136233e-02
5.018115469829271369e+00;2.480217806641640821e-02
5.148442590903167471e+00;3.187283712915103123e-02
5.278769711977062684e+00;3.113359348237036001e-02
5.409096833050957898e+00;4.451023600462676588e-02
5.539423954124853999e+00;4.172116868275130980e-02
5.669751075198749213e+00;3.249270599016396838e-02
5.800078196272644426e+00;3.194526313184798544e-02
5.930405317346540528e+00;1.767784567656993308e-02
6.060732438420435741e+00;1.105640284254881013e-02
6.191059559494330955e+00;2.767551541103320870e-02
6.321386680568227057e+00;2.008585966680302010e-02
6.451713801642123158e+00;2.206190598732646335e-02
6.582040922716017484e+00;1.476769795775027989e-02
6.712368043789913585e+00;3.150394445481697041e-03
6.842695164863807911e+00;2.437532800060289353e-03
6.973022285937704012e+00;7.208042040293204111e-03
7.103349407011598338e+00;5.860251540866790940e-03
7.233676528085495328e+00;-1.198692206818395859e-03
7.364003649159389653e+00;-1.026017742085889211e-03
7.494330770233285755e+00;-5.007131473151180297e-03
7.624657891307180968e+00;-4.811165804431458137e-03
7.754985012381077070e+00;-6.083942781716200621e-03
7.885312133454971395e+00;-5.329958568791029992e-03
8.015639254528867497e+00;-8.086625234441415996e-03
8.145966375602762710e+00;-8.509354143787603575e-03
8.276293496676659700e+00;4.436622494563051411e-03
8.406620617750554914e+00;3.726264566107824645e-03
8.536947738824448351e+00;-4.915306739351754661e-04
8.667274859898347117e+00;8.692750695639610975e-03
8.797601980972242330e+00;2.607903946763624053e-03
8.927929102046137544e+00;2.294217217243331094e-02
9.058256223120030981e+00;2.057196984652148036e-02
9.188583344193927971e+00;2.245549864408601451e-02
9.318910465267821408e+00;1.467729326286575271e-02
9.449237586341718398e+00;2.071463148235395957e-02
9.579564707415615388e+00;1.923629766793932480e-02
9.709891828489510601e+00;1.944585654969922112e-02
9.840218949563405815e+00;3.006248831019893084e-02
9.970546070637301028e+00;4.163807835943525437e-02
1.010087319171119447e+01;4.591082760647562100e-02
1.023120031278509146e+01;5.031782350178340413e-02
1.036152743385898667e+01;4.829062839020584891e-02
1.049185455493288366e+01;5.745197558564420215e-02
1.062218167600678065e+01;4.931828177711394812e-02
1.075250879708067409e+01;4.255837491547264512e-02
1.088283591815456930e+01;3.228876627440565444e-02
1.101316303922846274e+01;2.949248362087909456e-02
1.114349016030235973e+01;3.179994700320849799e-02
1.127381728137625494e+01;2.642197244913166432e-02
1.140414440245015193e+01;1.550929414813076619e-02
1.153447152352404714e+01;1.193530166075814844e-02
1.166479864459794236e+01;5.766895030784036959e-03
1.179512576567183579e+01;-4.567157536037606304e-03
1.192545288674573278e+01;1.329919856620383201e-02
1.205578000781962800e+01;1.593654248023509620e-02
1.218610712889352499e+01;2.230308473294430674e-02
1.231643424996742020e+01;3.164740136187790820e-02
1.244676137104131541e+01;2.776195214551209836e-02
1.257708849211520885e+01;2.375981676183527500e-02
1.270741561318910584e+01;2.273287387637542428e-02
1.283774273426300105e+01;7.778838611702711646e-03
1.296806985533689804e+01;-3.435998003257378312e-03
1.309839697641079326e+01;-8.029856269284339765e-03
1.322872409748468847e+01;7.714464763317703186e-03
1.335905121855858368e+01;1.718060237596460982e-02
1.348937833963247712e+01;1.321730194569640734e-02
1.361970546070637411e+01;1.728176852381572287e-02
1.375003258178026933e+01;1.730749530596293467e-02
1.388035970285416631e+01;-8.963252504520316803e-05
1.401068682392806153e+01;1.456371322988916223e-02
1.414101394500195497e+01;3.032824854584894106e-02
1.427134106607585018e+01;3.896666048801537829e-02
1.440166818714974717e+01;5.399395345616286868e-02
1.453199530822364238e+01;4.478699164628856255e-02
