Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;-6.391668575494250000e-03
3.263391111690342461e-01;1.862318942478179444e-03
4.566662322429296816e-01;1.141508078061364076e-02
5.869933533168251172e-01;2.126827270717154134e-02
7.173204743907206637e-01;2.429950379799328264e-02
8.476475954646162103e-01;3.509825688977314534e-02
9.779747165385117569e-01;4.766397830381845224e-02
1.108301837612407192e+00;5.271027423331647865e-02
1.238628958686302628e+00;4.413916091652052981e-02
1.368956079760198064e+00;5.371186293438188347e-02
1.499283200834093499e+00;6.154678552968473326e-02
1.629610321907988935e+00;6.513398077262680386e-02
1.759937442981884370e+00;7.432310464430827435e-02
1.890264564055779806e+00;7.246415448222057187e-02
2.020591685129675241e+00;8.343229590593576050e-02
2.150918806203570455e+00;8.651019055590743190e-02
2.281245927277465668e+00;8.730385801372193832e-02
2.411573048351361326e+00;8.694284561504758702e-02
2.541900169425256983e+00;8.159423963743919761e-02
2.672227290499152197e+00;8.328931722122326353e-02
2.802554411573048299e+00;9.708749539900125847e-02
2.932881532646943956e+00;9.427821229298570527e-02
3.063208653720839170e+00;8.092615510595414785e-02
3.193535774794734827e+00;8.119917638496994272e-02
3.323862895868630485e+00;7.861637879328622902e-02
3.454190016942525698e+00;7.010810250307109026e-02
3.584517138016421356e+00;5.521638030728113350e-02
3.714844259090317014e+00;5.361972795213068577e-02
3.845171380164212227e+00;6.976833617528667431e-02
3.975498501238107885e+00;6.735067633945897303e-02
4.105825622312003098e+00;6.212504140268464148e-02
4.236152743385898312e+00;6.030794251228836778e-02
4.366479864459794413e+00;5.512095402428371371e-02
4.496806985533689627e+00;7.064457093635546914e-02
4.627134106607584840e+00;6.386492366591323133e-02
4.757461227681480942e+00;6.495610946289412380e-02
4.887788348755376155e+00;7.423654473173113555e-02
5.018115469829271369e+00;7.996856956144733630e-02
5.148442590903167471e+00;8.446245387109072023e-02
5.278769711977062684e+00;1.018231802422005366e-01
5.409096833050957898e+00;1.065447524984823452e-01
5.539423954124853999e+00;1.061042210143745973e-01
5.669751075198749213e+00;1.192526948582590118e-01
5.800078196272644426e+00;1.099329507491794838e-01
5.930405317346540528e+00;1.185254635955124425e-01
6.060732438420435741e+00;1.146348502396390412e-01
6.191059559494330955e+00;1.261610331702306687e-01
6.321386680568227057e+00;1.288920873942419332e-01
6.451713801642123158e+00;1.294626579633525454e-01
6.582040922716017484e+00;1.204205993821765297e-01
6.712368043789913585e+00;1.194781327370275925e-01
6.842695164863807911e+00;1.184832457112800497e-01
6.973022285937704012e+00;1.263005492308147404e-01
7.103349407011598338e+00;1.244015868275539227e-01
7.233676528085495328e+00;1.288487275586468750e-01
7.364003649159389653e+00;1.378351876977581270e-01
7.494330770233285755e+00;1.329790857373187585e-01
7.624657891307180968e+00;1.322625944595774983e-01
7.754985012381077070e+00;1.249913696526537416e-01
7.885312133454971395e+00;1.162662781659098143e-01
8.015639254528867497e+00;1.165915581235443255e-01
8.145966375602762710e+00;1.107399072800065304e-01
8.276293496676659700e+00;1.069520105405294547e-01
8.406620617750554914e+00;1.116629443024785423e-01
8.536947738824448351e+00;1.051866626763850870e-01
8.667274859898347117e+00;1.109717501745261237e-01
8.797601980972242330e+00;1.087057374023766843e-01
8.927929102046137544e+00;1.149286863218546006e-01
9.058256223120030981e+00;1.174933510412321386e-01
9.188583344193927971e+00;1.269133811847489857e-01
9.318910465267821408e+00;1.185699905401432636e-01
9.449237586341718398e+00;1.177947812133450095e-01
9.579564707415615388e+00;1.019080603374358518e-01
9.709891828489510601e+00;1.014810219589520196e-01
9.840218949563405815e+00;9.746405308113689769e-02
9.970546070637301028e+00;9.151520757426247210e-02
1.010087319171119447e+01;9.956602255492447151e-02
1.023120031278509146e+01;9.491150140162386839e-02
1.036152743385898667e+01;1.054379088358306654e-01
1.049185455493288366e+01;9.510719636768069640e-02
1.062218167600678065e+01;8.907775079013720287e-02
1.075250879708067409e+01;9.581438048864504564e-02
1.088283591815456930e+01;9.182803208610236523e-02
1.101316303922846274e+01;1.013483369286157787e-01
1.114349016030235973e+01;9.660941661225130872e-02
1.127381728137625494e+01;9.448236929309430931e-02
1.140414440245015193e+01;9.623137461893878364e-02
1.153447152352404714e+01;8.457962176932905252e-02
1.166479864459794236e+01;8.059343622236117555e-02
1.179512576567183579e+01;8.614834185008615752e-02
1.192545288674573278e+01;9.765625326576586607e-02
1.205578000781962800e+01;1.062685485060265445e-01
1.218610712889352499e+01;1.290382760724634315e-01
1.231643424996742020e+01;1.297023112773503239e-01
1.244676137104131541e+01;1.246945382486968207e-01
1.257708849211520885e+01;1.265402672768652925e-01
1.270741561318910584e+01;1.269448832900774149e-01
1.283774273426300105e+01;1.294188861532458990e-01
1.296806985533689804e+01;1.365881678439093694e-01
1.309839697641079326e+01;1.428463249916096800e-01
1.322872409748468847e+01;1.393548451070284744e-01
1.335905121855858368e+01;1.362061051489590335e-01
1.348937833963247712e+01;1.340138800048755185e-01
1.361970546070637411e+01;1.207945545124625708e-01
1.375003258178026933e+01;1.243387588188552412e-01
1.388035970285416631e+01;1.229178064830513534e-01
1.401068682392806153e+01;1.139250332681132905e-01
1.414101394500195497e+01;1.235763616242407381e-01
1.427134106607585018e+01;1.293749704368617748e-01
1.440166818714974717e+01;1.288122045252636516e-01
1.453199530822364238e+01;1.278717138586504543e-01
1.466232242929753937e+01;1.252494786090208312e-01
