Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;-2.459512209538589241e-03
3.263391111690342461e-01;4.639000853980772276e-03
4.566662322429296816e-01;8.142378984816621076e-03
5.869933533168251172e-01;1.769514082295208304e-02
7.173204743907206637e-01;2.035063208864950485e-02
8.476475954646162103e-01;1.994246655669146273e-02
9.779747165385117569e-01;2.617458881705529011e-02
1.108301837612407192e+00;2.736986485973301117e-02
1.238628958686302628e+00;2.090927828573269781e-02
1.368956079760198064e+00;2.474093958677849731e-02
1.499283200834093499e+00;2.974511251462761893e-02
1.629610321907988935e+00;3.018955988548992220e-02
1.759937442981884370e+00;3.587252580911599181e-02
1.890264564055779806e+00;3.923513715957436393e-02
2.020591685129675241e+00;3.581500081535433228e-02
2.150918806203570455e+00;4.190949169580617667e-02
2.281245927277465668e+00;5.185203463306443938e-02
2.411573048351361326e+00;4.805273928416833873e-02
2.541900169425256983e+00;5.273701348803448707e-02
2.672227290499152197e+00;5.317754497214222803e-02
2.802554411573048299e+00;5.514444235953024076e-02
2.932881532646943956e+00;6.458864151186036184e-02
3.063208653720839170e+00;8.097828881717177019e-02
3.193535774794734827e+00;7.189501399652825642e-02
3.323862895868630485e+00;8.134012451176046710e-02
3.454190016942525698e+00;8.129985654458048161e-02
3.584517138016421356e+00;7.412431006899752872e-02
3.714844259090317014e+00;6.980301617725309660e-02
3.845171380164212227e+00;9.653685815666164516e-02
3.975498501238107885e+00;9.138353400220806944e-02
4.105825622312003098e+00;9.466271716879981479e-02
4.236152743385898312e+00;9.215612187123506382e-02
4.366479864459794413e+00;9.223869827315871184e-02
4.496806985533689627e+00;8.011588247144582620e-02
4.627134106607584840e+00;8.914938390921990641e-02
4.757461227681480942e+00;8.260645952963004135e-02
4.887788348755376155e+00;8.591160766108300872e-02
5.018115469829271369e+00;9.645186415042668326e-02
5.148442590903167471e+00;1.009567138182419915e-01
5.278769711977062684e+00;9.259266528554552234e-02
5.409096833050957898e+00;9.261579309020416539e-02
5.539423954124853999e+00;6.910530482882910885e-02
5.669751075198749213e+00;5.021231272801533752e-02
5.800078196272644426e+00;5.122076582260061406e-02
5.930405317346540528e+00;3.076745980851267395e-02
6.060732438420435741e+00;3.402036664020285928e-02
6.191059559494330955e+00;5.193914787124034177e-02
6.321386680568227057e+00;4.787045673730358497e-02
6.451713801642123158e+00;3.913752253488429755e-02
6.582040922716017484e+00;4.823739076951232690e-02
6.712368043789913585e+00;3.911367875925239601e-02
6.842695164863807911e+00;4.488122529364094171e-02
6.973022285937704012e+00;4.805027240526002497e-02
7.103349407011598338e+00;6.725553658644789490e-02
7.233676528085495328e+00;6.540964335498317128e-02
7.364003649159389653e+00;7.307780209821587714e-02
7.494330770233285755e+00;7.078278933263885964e-02
7.624657891307180968e+00;6.962702767119134661e-02
7.754985012381077070e+00;6.566003696788975941e-02
7.885312133454971395e+00;6.981608215438914189e-02
8.015639254528867497e+00;7.654372631958139550e-02
8.145966375602762710e+00;1.120681138649560482e-01
8.276293496676659700e+00;1.187100407410949660e-01
8.406620617750554914e+00;1.215409854410703649e-01
8.536947738824448351e+00;1.394706002691725732e-01
8.667274859898347117e+00;1.537960184390151919e-01
8.797601980972242330e+00;1.445281954145597736e-01
8.927929102046137544e+00;1.628800819632737207e-01
9.058256223120030981e+00;1.593928386286400656e-01
9.188583344193927971e+00;1.477500495323374463e-01
9.318910465267821408e+00;1.425365088704947381e-01
9.449237586341718398e+00;1.496165389041432259e-01
9.579564707415615388e+00;1.464799435217178369e-01
9.709891828489510601e+00;1.351257678376249771e-01
9.840218949563405815e+00;1.467039676945190441e-01
9.970546070637301028e+00;1.503704166426678979e-01
1.010087319171119447e+01;1.423973431996459482e-01
1.023120031278509146e+01;1.414568310652807304e-01
1.036152743385898667e+01;1.453507757365985753e-01
1.049185455493288366e+01;1.597969526135908647e-01
1.062218167600678065e+01;1.484496607503934251e-01
1.075250879708067409e+01;1.278745565301385445e-01
1.088283591815456930e+01;1.256432755506778076e-01
1.101316303922846274e+01;1.195642943860793922e-01
1.114349016030235973e+01;1.203119796772238459e-01
1.127381728137625494e+01;1.069495600369184118e-01
1.140414440245015193e+01;1.021717342588581295e-01
1.153447152352404714e+01;9.101455669314764685e-02
1.166479864459794236e+01;8.213501372723185090e-02
1.179512576567183579e+01;8.388957971779535672e-02
1.192545288674573278e+01;1.033308691730053241e-01
1.205578000781962800e+01;1.002529745230336666e-01
1.218610712889352499e+01;1.046112146894761508e-01
1.231643424996742020e+01;1.124545000203332062e-01
1.244676137104131541e+01;1.048795334950512886e-01
1.257708849211520885e+01;1.022829720449449642e-01
1.270741561318910584e+01;1.100313575659735976e-01
1.283774273426300105e+01;1.061866872886608471e-01
1.296806985533689804e+01;1.023386352318544357e-01
1.309839697641079326e+01;9.754908199977065097e-02
1.322872409748468847e+01;1.037058729387962258e-01
1.335905121855858368e+01;9.677703611909363457e-02
1.348937833963247712e+01;9.752798890827939216e-02
1.361970546070637411e+01;1.037544742556255617e-01
1.375003258178026933e+01;9.740308693724952782e-02
1.388035970285416631e+01;8.871361143449756070e-02
1.401068682392806153e+01;9.142367792846213537e-02
1.414101394500195497e+01;1.086987600954924943e-01
1.427134106607585018e+01;1.161091163918130109e-01
1.440166818714974717e+01;1.175246785082984802e-01
1.453199530822364238e+01;1.110574017737062519e-01
1.466232242929753937e+01;1.106621427983505990e-01
