Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;4.169080446952550846e-03
3.263391111690342461e-01;3.321602531263890407e-03
4.566662322429296816e-01;-3.245197571790457442e-03
5.869933533168251172e-01;-8.414115294482216179e-03
7.173204743907206637e-01;-9.189324621280478902e-03
8.476475954646162103e-01;-1.926342734793200229e-02
9.779747165385117569e-01;-1.258685771670586991e-02
1.108301837612407192e+00;-8.437011738157473850e-03
1.238628958686302628e+00;1.149494541373075225e-02
1.368956079760198064e+00;1.103832123556712855e-02
1.499283200834093499e+00;1.059387386470482702e-02
1.629610321907988935e+00;1.142722648896541196e-02
1.759937442981884370e+00;1.231220534393545965e-02
1.890264564055779806e+00;2.283474156972499849e-02
2.020591685129675241e+00;1.705052161975188427e-02
2.150918806203570455e+00;1.587399674924218351e-02
2.281245927277465668e+00;1.708863137769441043e-02
2.411573048351361326e+00;2.043560551144987802e-02
2.541900169425256983e+00;2.998836734958533826e-02
2.672227290499152197e+00;2.277588690735800336e-02
2.802554411573048299e+00;2.392153939288661421e-02
2.932881532646943956e+00;2.176382110509000184e-02
3.063208653720839170e+00;4.020429005159608521e-02
3.193535774794734827e+00;3.869663814306170679e-02
3.323862895868630485e+00;4.419233169341370976e-02
3.454190016942525698e+00;6.322650589295078505e-02
3.584517138016421356e+00;5.700656043988827637e-02
3.714844259090317014e+00;3.983016029204836800e-02
3.845171380164212227e+00;1.596604677420449328e-02
3.975498501238107885e+00;1.096270635411851838e-02
4.105825622312003098e+00;2.178912196389303640e-02
4.236152743385898312e+00;2.232571804903817417e-02
4.366479864459794413e+00;3.005930049110745392e-02
4.496806985533689627e+00;1.766738766173688718e-02
4.627134106607584840e+00;2.855808236552900489e-02
4.757461227681480942e+00;2.516711830662731256e-02
4.887788348755376155e+00;3.601058651901949126e-02
5.018115469829271369e+00;2.822720660482981245e-02
5.148442590903167471e+00;1.783408885087527790e-02
5.278769711977062684e+00;1.785717465351703212e-02
5.409096833050957898e+00;1.061912767964606590e-02
5.539423954124853999e+00;2.221683672946430516e-02
5.669751075198749213e+00;1.034316788601256920e-02
5.800078196272644426e+00;2.398751356276426772e-02
5.930405317346540528e+00;2.017614529337006385e-02
6.060732438420435741e+00;2.266940230135110548e-02
6.191059559494330955e+00;1.879681592431362014e-02
6.321386680568227057e+00;3.938491857980129518e-02
6.451713801642123158e+00;4.843782521716042538e-02
6.582040922716017484e+00;5.626790176013922451e-02
6.712368043789913585e+00;5.172214723663407648e-02
6.842695164863807911e+00;5.884715036699823126e-02
6.973022285937704012e+00;5.167796591362151803e-02
7.103349407011598338e+00;4.687077288597640834e-02
7.233676528085495328e+00;4.694133207919943401e-02
7.364003649159389653e+00;5.054725291221644906e-02
7.494330770233285755e+00;2.854660713411378767e-02
7.624657891307180968e+00;3.902483657171168518e-02
7.754985012381077070e+00;5.057792268237892158e-02
7.885312133454971395e+00;6.204342599387260848e-02
8.015639254528867497e+00;5.869871425237109530e-02
8.145966375602762710e+00;5.225245364188982333e-02
8.276293496676659700e+00;6.045260245540332728e-02
8.406620617750554914e+00;5.875285219276906584e-02
8.536947738824448351e+00;7.014164769262860866e-02
8.667274859898347117e+00;6.325580814117341688e-02
8.797601980972242330e+00;7.376328011200816714e-02
8.927929102046137544e+00;6.383161968108279349e-02
9.058256223120030981e+00;5.783365392713384068e-02
9.188583344193927971e+00;6.150536563956832820e-02
9.318910465267821408e+00;6.605112016307347622e-02
9.449237586341718398e+00;5.883283342356183943e-02
9.579564707415615388e+00;6.187627303599228107e-02
9.709891828489510601e+00;6.462068630126274749e-02
9.840218949563405815e+00;7.070173812774309396e-02
9.970546070637301028e+00;7.244457211929151985e-02
1.010087319171119447e+01;7.302653795214243682e-02
1.023120031278509146e+01;6.893048510746242752e-02
1.036152743385898667e+01;6.668235773779529474e-02
1.049185455493288366e+01;7.075895329904551001e-02
1.062218167600678065e+01;7.684000512552584261e-02
1.075250879708067409e+01;6.392267762865917746e-02
1.088283591815456930e+01;5.492886135733116709e-02
1.101316303922846274e+01;4.271089183410705509e-02
1.114349016030235973e+01;2.970874338600103942e-02
1.127381728137625494e+01;2.472284197306380549e-02
1.140414440245015193e+01;1.720214501653334616e-02
1.153447152352404714e+01;2.111083989460022306e-02
1.166479864459794236e+01;2.572423268694251641e-02
1.179512576567183579e+01;2.007766800513449690e-02
1.192545288674573278e+01;1.544916625546163998e-02
1.205578000781962800e+01;1.417250115520340276e-02
1.218610712889352499e+01;-5.409410312969836375e-04
1.231643424996742020e+01;-3.418611037923064539e-04
1.244676137104131541e+01;-8.398853939068105789e-03
1.257708849211520885e+01;-2.230176093889346331e-03
1.270741561318910584e+01;-6.922078302589100389e-04
1.283774273426300105e+01;-3.516054493992772507e-05
1.296806985533689804e+01;-9.658116334197682992e-03
1.309839697641079326e+01;-2.088931315842989037e-02
1.322872409748468847e+01;-2.068535499016276730e-02
1.335905121855858368e+01;-8.121973140491007062e-03
1.348937833963247712e+01;3.219108228343076691e-03
1.361970546070637411e+01;2.040877260097654841e-02
1.375003258178026933e+01;2.818798770874847079e-02
1.388035970285416631e+01;4.562269048913444175e-02
1.401068682392806153e+01;5.479895014852061846e-02
1.414101394500195497e+01;5.641931229625951616e-02
1.427134106607585018e+01;5.807296350924806561e-02
1.440166818714974717e+01;5.695305416876405430e-02
1.453199530822364238e+01;6.785008912416179427e-02
1.466232242929753937e+01;7.465669784039079271e-02
