Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;-7.406509602283770088e-03
3.263391111690342461e-01;-7.299399710576383576e-04
4.566662322429296816e-01;4.107939172509316849e-04
5.869933533168251172e-01;1.084853461035643722e-02
7.173204743907206637e-01;5.151321642895552270e-03
8.476475954646162103e-01;-6.466724118478669450e-04
9.779747165385117569e-01;1.270646685060439728e-02
1.108301837612407192e+00;2.269627621646532617e-02
1.238628958686302628e+00;3.112741183825496263e-02
1.368956079760198064e+00;3.630444578529697791e-02
1.499283200834093499e+00;4.174915019725385090e-02
1.629610321907988935e+00;3.916236647729440939e-02
1.759937442981884370e+00;4.302695019237673391e-02
1.890264564055779806e+00;4.815965789538090985e-02
2.020591685129675241e+00;4.557287417542146141e-02
2.150918806203570455e+00;4.278330619400068369e-02
2.281245927277465668e+00;4.278330619400068369e-02
2.411573048351361326e+00;3.621650609094633627e-02
2.541900169425256983e+00;4.001580143984242999e-02
2.672227290499152197e+00;3.193373386202164044e-02
2.802554411573048299e+00;3.645482758327307088e-02
2.932881532646943956e+00;3.819502369300767364e-02
3.063208653720839170e+00;5.207860703958754056e-02
3.193535774794734827e+00;3.935736450482261312e-02
3.323862895868630485e+00;4.793999335331584205e-02
3.454190016942525698e+00;5.557305575058065633e-02
3.584517138016421356e+00;4.035053988454737062e-02
3.714844259090317014e+00;2.242331106489204098e-02
3.845171380164212227e+00;1.314469752741375015e-02
3.975498501238107885e+00;6.213097589808221251e-03
4.105825622312003098e+00;1.898528401206642582e-02
4.236152743385898312e+00;1.515935095584192496e-02
4.366479864459794413e+00;1.129476724075960045e-02
4.496806985533689627e+00;-1.240595460201555185e-03
4.627134106607584840e+00;1.108560453771212373e-02
4.757461227681480942e+00;7.537587237175710601e-03
4.887788348755376155e+00;2.135025606858362290e-02
5.018115469829271369e+00;3.022161153165131911e-02
5.148442590903167471e+00;3.304677533505916143e-02
5.278769711977062684e+00;3.495989185485474243e-02
5.409096833050957898e+00;3.784530773588708208e-02
5.539423954124853999e+00;3.485257414462983316e-02
5.669751075198749213e+00;1.694284102870905959e-02
5.800078196272644426e+00;1.732135055875495475e-02
5.930405317346540528e+00;9.624533072994928898e-03
6.060732438420435741e+00;1.205745717803136975e-02
6.191059559494330955e+00;2.489497520532758107e-02
6.321386680568227057e+00;2.512486066775905524e-02
6.451713801642123158e+00;3.848356407929174466e-02
6.582040922716017484e+00;4.703591188165670567e-02
6.712368043789913585e+00;3.465523476284870785e-02
6.842695164863807911e+00;4.288633374757639533e-02
6.973022285937704012e+00;4.666171137298364552e-02
7.103349407011598338e+00;5.834047504284873426e-02
7.233676528085495328e+00;5.459111875552553894e-02
7.364003649159389653e+00;6.718686118518302219e-02
7.494330770233285755e+00;5.337419235377510729e-02
7.624657891307180968e+00;5.711146065092544133e-02
7.754985012381077070e+00;5.390713784284152654e-02
7.885312133454971395e+00;6.139775175427452519e-02
8.015639254528867497e+00;6.532990812023017901e-02
8.145966375602762710e+00;6.685581971085949315e-02
8.276293496676659700e+00;8.119456407275843501e-02
8.406620617750554914e+00;8.356038913961814918e-02
8.536947738824448351e+00;9.071963989873436940e-02
8.667274859898347117e+00;9.296490719307161366e-02
8.797601980972242330e+00;8.825492291705672177e-02
8.927929102046137544e+00;1.012304826913109634e-01
9.058256223120030981e+00;9.126217805714149922e-02
9.188583344193927971e+00;8.582194569863757505e-02
9.318910465267821408e+00;7.263306108540568129e-02
9.449237586341718398e+00;7.802715931908928149e-02
9.579564707415615388e+00;8.214213124520045040e-02
9.709891828489510601e+00;7.347724202917306491e-02
9.840218949563405815e+00;8.481331066227774940e-02
9.970546070637301028e+00;8.270848344950812447e-02
1.010087319171119447e+01;8.188879296072430758e-02
1.023120031278509146e+01;7.504695223623857048e-02
1.036152743385898667e+01;7.670028890026152346e-02
1.049185455493288366e+01;8.373133028001207567e-02
1.062218167600678065e+01;7.552306524214831562e-02
1.075250879708067409e+01;6.578355352039473580e-02
1.088283591815456930e+01;5.022956745648638616e-02
1.101316303922846274e+01;4.148537860679931549e-02
1.114349016030235973e+01;3.588728793696097097e-02
1.127381728137625494e+01;3.101351933621544418e-02
1.140414440245015193e+01;2.725588321724821406e-02
1.153447152352404714e+01;2.159569856130560267e-02
1.166479864459794236e+01;2.074785528341511684e-02
1.179512576567183579e+01;1.525572003786190151e-02
1.192545288674573278e+01;3.219648846433880579e-02
1.205578000781962800e+01;2.998818094996059253e-02
1.218610712889352499e+01;2.877440102966827978e-02
1.231643424996742020e+01;3.316318157378755904e-02
1.244676137104131541e+01;2.018762179953334165e-02
1.257708849211520885e+01;2.771503442367793252e-02
1.270741561318910584e+01;2.853472491246175288e-02
1.283774273426300105e+01;2.738897116730012668e-02
1.296806985533689804e+01;1.793021913810187093e-02
1.309839697641079326e+01;9.925948370748220728e-03
1.322872409748468847e+01;1.281307883730253665e-02
1.335905121855858368e+01;1.809426550611709789e-02
1.348937833963247712e+01;2.441751121770054100e-02
1.361970546070637411e+01;3.155139140090647276e-02
1.375003258178026933e+01;4.187661103004124835e-02
1.388035970285416631e+01;4.244011937859323152e-02
1.401068682392806153e+01;4.483861876787035433e-02
1.414101394500195497e+01;5.795727089766567613e-02
1.427134106607585018e+01;6.750060566594219547e-02
1.440166818714974717e+01;7.305372631465863187e-02
1.453199530822364238e+01;7.197317984469153718e-02
1.466232242929753937e+01;6.799997127697919586e-02
