Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;1.115717756571048616e-02
3.263391111690342461e-01;1.123642792602923398e-03
4.566662322429296816e-01;-8.065481079078546875e-03
5.869933533168251172e-01;-2.403315189355015660e-02
7.173204743907206637e-01;-2.122116597740635394e-02
8.476475954646162103e-01;-2.508574969248867845e-02
9.779747165385117569e-01;-2.597072854745872267e-02
1.108301837612407192e+00;-2.813556883512493417e-02
1.238628958686302628e+00;-1.488018131446283178e-02
1.368956079760198064e+00;-1.884701842628888277e-02
1.499283200834093499e+00;-2.353129263015503458e-02
1.629610321907988935e+00;-2.788186147963651884e-02
1.759937442981884370e+00;-3.444866158269086626e-02
1.890264564055779806e+00;-3.334160528883019226e-02
2.020591685129675241e+00;-4.354637310600595335e-02
2.150918806203570455e+00;-4.152180503826911201e-02
2.281245927277465668e+00;-4.112019645340590085e-02
2.411573048351361326e+00;-3.335267445244777945e-02
2.541900169425256983e+00;-2.677951747442459951e-02
2.672227290499152197e+00;-2.763423914238960152e-02
2.802554411573048299e+00;-4.204459637545317902e-02
2.932881532646943956e+00;-3.625088843534945982e-02
3.063208653720839170e+00;-2.147656508466792499e-02
3.193535774794734827e+00;-1.218546390142244591e-02
3.323862895868630485e+00;2.643618913570866882e-03
3.454190016942525698e+00;1.935372331790455314e-02
3.584517138016421356e+00;1.506166822583257861e-02
3.714844259090317014e+00;6.586517157766672188e-04
3.845171380164212227e+00;-1.610694873854786116e-02
3.975498501238107885e+00;-1.261858417752934405e-02
4.105825622312003098e+00;-7.033384698529271915e-03
4.236152743385898312e+00;4.058145291399780155e-03
4.366479864459794413e+00;1.974102323415186100e-02
4.496806985533689627e+00;2.008334378395379774e-02
4.627134106607584840e+00;3.648158568676884012e-02
4.757461227681480942e+00;3.359492729730669675e-02
4.887788348755376155e+00;3.501170092098723069e-02
5.018115469829271369e+00;2.280777313959489461e-02
5.148442590903167471e+00;1.666015064496714423e-02
5.278769711977062684e+00;1.403087628103265837e-02
5.409096833050957898e+00;1.728405594838575490e-02
5.539423954124853999e+00;2.908543126758577485e-02
5.669751075198749213e+00;2.589303284746746411e-02
5.800078196272644426e+00;3.861142613585728106e-02
5.930405317346540528e+00;2.822945789694505936e-02
6.060732438420435741e+00;2.166834796586853545e-02
6.191059559494330955e+00;2.157735613001923736e-02
6.321386680568227057e+00;3.434591757884526003e-02
6.451713801642123158e+00;3.201616712519515795e-02
6.582040922716017484e+00;2.399968783623281782e-02
6.712368043789913585e+00;2.021730691926707651e-02
6.842695164863807911e+00;1.839834941948212746e-02
6.973022285937704012e+00;1.222429658093107316e-02
7.103349407011598338e+00;-5.609450616005542782e-03
7.233676528085495328e+00;-8.848478883144507076e-03
7.364003649159389653e+00;-1.766562601505247340e-02
7.494330770233285755e+00;-2.983471669281252334e-02
7.624657891307180968e+00;-2.289778988364523857e-02
7.754985012381077070e+00;-9.413157942178809051e-03
7.885312133454971395e+00;-4.684284329192959714e-03
8.015639254528867497e+00;-1.471781910230051879e-02
8.145966375602762710e+00;-2.311272021275728034e-02
8.276293496676659700e+00;-1.630533912279206327e-02
8.406620617750554914e+00;-2.108127238074125609e-02
8.536947738824448351e+00;-2.106952288004096049e-02
8.667274859898347117e+00;-2.101634835625861009e-02
8.797601980972242330e+00;-1.188373885828496353e-02
8.927929102046137544e+00;-1.445669083779487982e-02
9.058256223120030981e+00;-1.285655428348618685e-02
9.188583344193927971e+00;-1.861081414983237333e-03
9.318910465267821408e+00;8.095352340533559787e-03
9.449237586341718398e+00;1.520305586826521844e-03
9.579564707415615388e+00;-1.029560541268857102e-03
9.709891828489510601e+00;1.058930082178890023e-02
9.840218949563405815e+00;1.595091577566424765e-02
9.970546070637301028e+00;3.137416702921861505e-02
1.010087319171119447e+01;3.704857259789374330e-02
1.023120031278509146e+01;4.420135637300725423e-02
1.036152743385898667e+01;3.827269722773959937e-02
1.049185455493288366e+01;4.447959860467762261e-02
1.062218167600678065e+01;5.063522166049146817e-02
1.075250879708067409e+01;4.069749902373707984e-02
1.088283591815456930e+01;3.698806017525043538e-02
1.101316303922846274e+01;3.071799684818681681e-02
1.114349016030235973e+01;2.562140245224856644e-02
1.127381728137625494e+01;2.013129508598003950e-02
1.140414440245015193e+01;5.455555947415907832e-03
1.153447152352404714e+01;1.145044299405277750e-02
1.166479864459794236e+01;1.074327243431143393e-02
1.179512576567183579e+01;2.547904312349749396e-04
1.192545288674573278e+01;-3.448123642673371538e-03
1.205578000781962800e+01;1.208626854778727968e-04
1.218610712889352499e+01;-7.012257328020983678e-03
1.231643424996742020e+01;-1.857641315701989444e-03
1.244676137104131541e+01;-8.245235930893666468e-04
1.257708849211520885e+01;-6.185393755732009925e-03
1.270741561318910584e+01;-6.494058866345233869e-03
1.283774273426300105e+01;-1.964529310053734698e-02
1.296806985533689804e+01;-3.102433347555693527e-02
1.309839697641079326e+01;-3.884511779846245433e-02
1.322872409748468847e+01;-2.578396906414761811e-02
1.335905121855858368e+01;-9.035636270643507273e-03
1.348937833963247712e+01;-7.981101043661080821e-03
1.361970546070637411e+01;6.139149723885779439e-03
1.375003258178026933e+01;3.618871984670151039e-03
1.388035970285416631e+01;3.092938585496006216e-03
1.401068682392806153e+01;2.452404461053943330e-02
1.414101394500195497e+01;2.879028994444278802e-02
1.427134106607585018e+01;2.953901833132126925e-02
1.440166818714974717e+01;3.789328131026830498e-02
