Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;5.183921473742075271e-03
3.263391111690342461e-01;5.913861444799706907e-03
4.566662322429296816e-01;7.759089291572256186e-03
5.869933533168251172e-01;2.005622802332891405e-03
7.173204743907206637e-01;9.958857533817261007e-03
8.476475954646162103e-01;1.648150195368902268e-02
9.779747165385117569e-01;2.237065373650819894e-02
1.108301837612407192e+00;2.157698627869368904e-02
1.238628958686302628e+00;2.450669449199632810e-02
1.368956079760198064e+00;2.844573838465204452e-02
1.499283200834093499e+00;3.039150919713572152e-02
1.629610321907988935e+00;3.739884078429780989e-02
1.759937442981884370e+00;4.360835979586699662e-02
1.890264564055779806e+00;4.713923815656467092e-02
2.020591685129675241e+00;5.490994335026619377e-02
2.150918806203570455e+00;5.960088111114893866e-02
2.281245927277465668e+00;6.160918319741567895e-02
2.411573048351361326e+00;7.116194503555113571e-02
2.541900169425256983e+00;7.156680554718210241e-02
2.672227290499152197e+00;7.413147026655962646e-02
2.802554411573048299e+00;8.455420720861479833e-02
2.932881532646943956e+00;7.784700970506804041e-02
3.063208653720839170e+00;6.905183811796267168e-02
3.193535774794734827e+00;8.053845002320902946e-02
3.323862895868630485e+00;7.486871713338409673e-02
3.454190016942525698e+00;7.776155264544121204e-02
3.584517138016421356e+00;7.187240086262201844e-02
3.714844259090317014e+00;7.102657717928699543e-02
3.845171380164212227e+00;7.258968542207740182e-02
3.975498501238107885e+00;7.210028510376924327e-02
4.105825622312003098e+00;6.492887935451123471e-02
4.236152743385898312e+00;6.747430960548460310e-02
4.366479864459794413e+00;7.388548727463155330e-02
4.496806985533689627e+00;8.955255405829391779e-02
4.627134106607584840e+00;8.133740149373010209e-02
4.757461227681480942e+00;8.258564053234571101e-02
4.887788348755376155e+00;8.889687518216699003e-02
5.018115469829271369e+00;7.797416463462582270e-02
5.148442590903167471e+00;6.924976738690684364e-02
5.278769711977062684e+00;8.472046304086285062e-02
5.409096833050957898e+00;7.931857244224134462e-02
5.539423954124853999e+00;9.346848359920907623e-02
5.669751075198749213e+00;1.126530217155625180e-01
5.800078196272644426e+00;1.165991137531888072e-01
5.930405317346540528e+00;1.290770758158875930e-01
6.060732438420435741e+00;1.252467953629587960e-01
6.191059559494330955e+00;1.200628738892167147e-01
6.321386680568227057e+00;1.431521453062841731e-01
6.451713801642123158e+00;1.394169191012212261e-01
6.582040922716017484e+00;1.296525892606590624e-01
6.712368043789913585e+00;1.365450452108129820e-01
6.842695164863807911e+00;1.344440623307019411e-01
6.973022285937704012e+00;1.313168037714526337e-01
7.103349407011598338e+00;1.129318846706816315e-01
7.233676528085495328e+00;1.211989408823208048e-01
7.364003649159389653e+00;1.211955794247915608e-01
7.494330770233285755e+00;1.081515005176574284e-01
7.624657891307180968e+00;1.141759703803637421e-01
7.754985012381077070e+00;1.216621544921911713e-01
7.885312133454971395e+00;1.169119524055079046e-01
8.015639254528867497e+00;1.099603642556852279e-01
8.145966375602762710e+00;9.613654121103686057e-02
8.276293496676659700e+00;8.621004892317435386e-02
8.406620617750554914e+00;8.685540735562947978e-02
8.536947738824448351e+00;8.460867047027931243e-02
8.667274859898347117e+00;8.126265112262791301e-02
8.797601980972242330e+00;9.421409459732811575e-02
8.927929102046137544e+00;7.752982331162643070e-02
9.058256223120030981e+00;8.406482691122448003e-02
9.188583344193927971e+00;1.025968011256797180e-01
9.318910465267821408e+00;1.119880496178110585e-01
9.449237586341718398e+00;9.860045531781755357e-02
9.579564707415615388e+00;8.164220212822766165e-02
9.709891828489510601e+00;9.262446623104171606e-02
9.840218949563405815e+00;8.335248054660221451e-02
9.970546070637301028e+00;8.125129624404583972e-02
1.010087319171119447e+01;9.070376754634258687e-02
1.023120031278509146e+01;8.879503427284772543e-02
1.036152743385898667e+01;9.541997767336439507e-02
1.049185455493288366e+01;8.213481938671410298e-02
1.062218167600678065e+01;9.039469067351470211e-02
1.075250879708067409e+01;9.395350459690945955e-02
1.088283591815456930e+01;9.652732598694711841e-02
1.101316303922846274e+01;1.025738501559234905e-01
1.114349016030235973e+01;9.043087206129137023e-02
1.127381728137625494e+01;8.819169192994270878e-02
1.140414440245015193e+01;8.617763641822394349e-02
1.153447152352404714e+01;8.409476310262370413e-02
1.166479864459794236e+01;8.556981362588861328e-02
1.179512576567183579e+01;9.097028981735878761e-02
1.192545288674573278e+01;8.090893105688871934e-02
1.205578000781962800e+01;9.045286871126935468e-02
1.218610712889352499e+01;9.972293401149819048e-02
1.231643424996742020e+01;9.619726859977045796e-02
1.244676137104131541e+01;9.610806251009540446e-02
1.257708849211520885e+01;9.659505675929805357e-02
1.270741561318910584e+01;9.771795054735682440e-02
1.283774273426300105e+01;1.019947544410059193e-01
1.296806985533689804e+01;1.089998323716098449e-01
1.309839697641079326e+01;1.120310634624315793e-01
1.322872409748468847e+01;1.058564112795632034e-01
1.335905121855858368e+01;1.099898665023509858e-01
1.348937833963247712e+01;1.128154770155181119e-01
1.361970546070637411e+01;1.096519357125326916e-01
1.375003258178026933e+01;1.106501354975625018e-01
1.388035970285416631e+01;1.261003775935926330e-01
1.401068682392806153e+01;1.238853646487636101e-01
1.414101394500195497e+01;1.220384030228346267e-01
1.427134106607585018e+01;1.199473282801677004e-01
1.440166818714974717e+01;1.127115323793691226e-01
1.453199530822364238e+01;1.237486231381207807e-01
1.466232242929753937e+01;1.319062051724325113e-01
