Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;9.116077839697729959e-03
3.263391111690342461e-01;8.690543356302298655e-03
4.566662322429296816e-01;4.486387495775226095e-03
5.869933533168251172e-01;-1.567509081886569924e-03
7.173204743907206637e-01;6.009985824473477144e-03
8.476475954646162103e-01;1.325711620607325112e-03
9.779747165385117569e-01;8.812642497450262928e-04
1.108301837612407192e+00;-3.763423094889786682e-03
1.238628958686302628e+00;1.276811861208493933e-03
1.368956079760198064e+00;-5.251849629513484800e-04
1.499283200834093499e+00;-1.410163817921391725e-03
1.629610321907988935e+00;2.454419897160934737e-03
1.759937442981884370e+00;5.157780960674723629e-03
1.890264564055779806e+00;1.391022083391846818e-02
2.020591685129675241e+00;7.292648259684769013e-03
2.150918806203570455e+00;1.500018225104768690e-02
2.281245927277465668e+00;2.615735981675817307e-02
2.411573048351361326e+00;3.227183870467188048e-02
2.541900169425256983e+00;4.270957939777738493e-02
2.672227290499152197e+00;4.401969801747859096e-02
2.802554411573048299e+00;4.261115416914378756e-02
2.932881532646943956e+00;4.815743892394269005e-02
3.063208653720839170e+00;6.910397182918030790e-02
3.193535774794734827e+00;7.123428763476734316e-02
3.323862895868630485e+00;7.759246285185833480e-02
3.454190016942525698e+00;8.895330668695061727e-02
3.584517138016421356e+00;9.078033062433842060e-02
3.714844259090317014e+00;8.720986540440942014e-02
3.845171380164212227e+00;9.935820740345235880e-02
3.975498501238107885e+00;9.613314276651832579e-02
4.105825622312003098e+00;9.746655512062638027e-02
4.236152743385898312e+00;9.932248896443125752e-02
4.366479864459794413e+00;1.110032315235065237e-01
4.496806985533689627e+00;9.902386559338421934e-02
4.627134106607584840e+00;1.066218617370367217e-01
4.757461227681480942e+00;1.002359905990815730e-01
4.887788348755376155e+00;1.005719381115188216e-01
5.018115469829271369e+00;9.445745922360511415e-02
5.148442590903167471e+00;8.574402733405808719e-02
5.278769711977062684e+00;7.548994808420779468e-02
5.409096833050957898e+00;6.538961303396310931e-02
5.539423954124853999e+00;5.646956741366353227e-02
5.669751075198749213e+00;4.361263958531880203e-02
5.800078196272644426e+00;5.788692882660986805e-02
5.930405317346540528e+00;4.131907202888775166e-02
6.060732438420435741e+00;4.463231176352255858e-02
6.191059559494330955e+00;4.584098859022635308e-02
6.321386680568227057e+00;6.213051464934581103e-02
6.451713801642123158e+00;4.909178367275297133e-02
6.582040922716017484e+00;5.746938064799485268e-02
6.712368043789913585e+00;5.618059123303778546e-02
6.842695164863807911e+00;6.084204191306279152e-02
6.973022285937704012e+00;5.306652694589789748e-02
7.103349407011598338e+00;5.578583442957556204e-02
7.233676528085495328e+00;5.775985667865706635e-02
7.364003649159389653e+00;5.643819382524929706e-02
7.494330770233285755e+00;4.595520411297752961e-02
7.624657891307180968e+00;5.154040359197760435e-02
7.754985012381077070e+00;6.233082180742716832e-02
7.885312133454971395e+00;7.046175639398724599e-02
8.015639254528867497e+00;6.991253245172232567e-02
8.145966375602762710e+00;9.746474779598642002e-02
8.276293496676659700e+00;9.796807912373989291e-02
8.406620617750554914e+00;9.673344849422131631e-02
8.536947738824448351e+00;1.188926080630668264e-01
8.667274859898347117e+00;1.240869193871169951e-01
8.797601980972242330e+00;1.300365526095111912e-01
8.927929102046137544e+00;1.254812189530455369e-01
9.058256223120030981e+00;1.259643144986323793e-01
9.188583344193927971e+00;1.234334694732682064e-01
9.318910465267821408e+00;1.359545679481625191e-01
9.449237586341718398e+00;1.304222130086157838e-01
9.579564707415615388e+00;1.262140853125096607e-01
9.709891828489510601e+00;1.262692121097146458e-01
9.840218949563405815e+00;1.325923951599843886e-01
9.970546070637301028e+00;1.401065053124513071e-01
1.010087319171119447e+01;1.335350881910641052e-01
1.023120031278509146e+01;1.353403639365045874e-01
1.036152743385898667e+01;1.353328445741323327e-01
1.049185455493288366e+01;1.468245756326242990e-01
1.062218167600678065e+01;1.497666006337709799e-01
1.075250879708067409e+01;1.260136806384030139e-01
1.088283591815456930e+01;1.303425694515226163e-01
1.101316303922846274e+01;1.207898076133871595e-01
1.114349016030235973e+01;1.141334351262639490e-01
1.127381728137625494e+01;1.006588826737668252e-01
1.140414440245015193e+01;9.211799605814330327e-02
1.153447152352404714e+01;9.052969802644231234e-02
1.166479864459794236e+01;8.711139113075928864e-02
1.179512576567183579e+01;8.871152768506797293e-02
1.192545288674573278e+01;8.658354696412817741e-02
1.205578000781962800e+01;8.443729472827647686e-02
1.218610712889352499e+01;7.529587262851088203e-02
1.231643424996742020e+01;7.894945734275334026e-02
1.244676137104131541e+01;7.629305775644987242e-02
1.257708849211520885e+01;7.233776152737771137e-02
1.270741561318910584e+01;8.080442482325296549e-02
1.283774273426300105e+01;7.876255557642079796e-02
1.296806985533689804e+01;7.475029975955489736e-02
1.309839697641079326e+01;6.673382047059256417e-02
1.322872409748468847e+01;7.020743911133094095e-02
1.335905121855858368e+01;7.056079747248555911e-02
1.348937833963247712e+01;7.632958591892194389e-02
1.361970546070637411e+01;9.261185545569564082e-02
1.375003258178026933e+01;8.371446361595676067e-02
1.388035970285416631e+01;9.189618254503878481e-02
1.401068682392806153e+01;1.013840093091124134e-01
1.414101394500195497e+01;1.071608014940863690e-01
1.427134106607585018e+01;1.066814742351188949e-01
1.440166818714974717e+01;1.014240063624039095e-01
1.453199530822364238e+01;1.069343110531765506e-01
1.466232242929753937e+01;1.173188693617622236e-01
