Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;0.000000000000000000e+00
3.263391111690342461e-01;-3.705398607686091923e-03
4.566662322429296816e-01;-1.289452247936756328e-02
5.869933533168251172e-01;-2.434785096023415335e-02
7.173204743907206637e-01;-1.200484706365786275e-02
8.476475954646162103e-01;-1.110392178852394503e-02
9.779747165385117569e-01;-1.816959844185282030e-02
1.108301837612407192e+00;-2.158973478607285196e-02
1.238628958686302628e+00;-5.107421208532195861e-03
1.368956079760198064e+00;-7.985363964795819938e-04
1.499283200834093499e+00;-6.289279696839913079e-03
1.629610321907988935e+00;-3.746358835165364796e-03
1.759937442981884370e+00;2.307537742496437727e-03
1.890264564055779806e+00;1.373918992244549907e-02
2.020591685129675241e+00;2.247932614144186256e-02
2.150918806203570455e+00;2.618472474912795361e-02
2.281245927277465668e+00;3.490239410636684220e-02
2.411573048351361326e+00;4.225150362379913316e-02
2.541900169425256983e+00;4.562356766357576060e-02
2.672227290499152197e+00;4.562356766357576060e-02
2.802554411573048299e+00;3.968775232160666466e-02
2.932881532646943956e+00;4.612110014181447504e-02
3.063208653720839170e+00;6.227800005902150993e-02
3.193535774794734827e+00;6.933826075032137326e-02
3.323862895868630485e+00;6.025222196229318428e-02
3.454190016942525698e+00;6.134359211451925753e-02
3.584517138016421356e+00;6.575377750215069539e-02
3.714844259090317014e+00;5.523824372291971652e-02
3.845171380164212227e+00;3.875593014537905001e-02
3.975498501238107885e+00;3.074164672564034043e-02
4.105825622312003098e+00;4.140130774869243274e-02
4.236152743385898312e+00;4.407638765323001334e-02
4.366479864459794413e+00;4.664105237260754433e-02
4.496806985533689627e+00;3.568787274346602034e-02
4.627134106607584840e+00;3.314121061010893987e-02
4.757461227681480942e+00;3.351046371498199450e-02
4.887788348755376155e+00;3.198218899732868659e-02
5.018115469829271369e+00;2.782565307922303319e-02
5.148442590903167471e+00;2.842042615127245847e-02
5.278769711977062684e+00;2.946213049641455833e-02
5.409096833050957898e+00;3.027719556698018483e-02
5.539423954124853999e+00;3.311052810996968632e-02
5.669751075198749213e+00;2.385925022278470239e-02
5.800078196272644426e+00;3.338502571535557906e-02
5.930405317346540528e+00;3.103717656096702943e-02
6.060732438420435741e+00;3.855621794866044560e-02
6.191059559494330955e+00;4.487827286863534104e-02
6.321386680568227057e+00;6.388741600032935009e-02
6.451713801642123158e+00;6.661536521285106593e-02
6.582040922716017484e+00;6.674781562142990954e-02
6.712368043789913585e+00;6.157889789873816078e-02
6.842695164863807911e+00;6.303746676375214519e-02
6.973022285937704012e+00;4.858269175130575795e-02
7.103349407011598338e+00;4.861704420885767236e-02
7.233676528085495328e+00;4.581469994015643921e-02
7.364003649159389653e+00;3.622989122091657688e-02
7.494330770233285755e+00;2.337406231598083278e-02
7.624657891307180968e+00;2.311119692995684122e-02
7.754985012381077070e+00;3.400693599152736918e-02
7.885312133454971395e+00;2.978956136026896656e-02
8.015639254528867497e+00;3.593075521323280119e-02
8.145966375602762710e+00;3.615369340769469114e-02
8.276293496676659700e+00;3.760384262509351705e-02
8.406620617750554914e+00;3.288954740561518542e-02
8.536947738824448351e+00;4.724951392901476088e-02
8.667274859898347117e+00;4.452825417191445118e-02
8.797601980972242330e+00;4.428182686185699185e-02
8.927929102046137544e+00;3.369819684693329404e-02
9.058256223120030981e+00;2.434901835194500097e-02
9.188583344193927971e+00;3.583316681179696261e-02
9.318910465267821408e+00;3.980637537950930394e-02
9.449237586341718398e+00;3.483937398569713489e-02
9.579564707415615388e+00;4.432092624150860138e-02
9.709891828489510601e+00;5.113827494274290897e-02
9.840218949563405815e+00;5.751258274184314206e-02
9.970546070637301028e+00;8.158154148000047734e-02
1.010087319171119447e+01;8.774059056750121988e-02
1.023120031278509146e+01;9.264580494950143408e-02
1.036152743385898667e+01;8.030477145744945033e-02
1.049185455493288366e+01;8.832293304306161608e-02
1.062218167600678065e+01;9.194717680613606614e-02
1.075250879708067409e+01;7.656840646565769848e-02
1.088283591815456930e+01;7.392545595748777065e-02
1.101316303922846274e+01;6.970774812506584650e-02
1.114349016030235973e+01;5.966730584348559768e-02
1.127381728137625494e+01;5.122418567248809146e-02
1.140414440245015193e+01;3.948451259218004744e-02
1.153447152352404714e+01;4.812068744792745434e-02
1.166479864459794236e+01;5.554838582688822329e-02
1.179512576567183579e+01;5.173784314918526694e-02
1.192545288674573278e+01;5.688071242117066079e-02
1.205578000781962800e+01;6.604715887174907041e-02
1.218610712889352499e+01;5.012329097626198882e-02
1.231643424996742020e+01;4.897381506502705012e-02
1.244676137104131541e+01;3.301866658165554524e-02
1.257708849211520885e+01;1.761051324161563500e-02
1.270741561318910584e+01;1.213293040831065796e-02
1.283774273426300105e+01;6.900825910810468033e-03
1.296806985533689804e+01;2.463340014359037457e-03
1.309839697641079326e+01;-4.921348859944928069e-04
1.322872409748468847e+01;6.526261843360410368e-03
1.335905121855858368e+01;2.289808683367687211e-02
1.348937833963247712e+01;3.222521288541679158e-02
1.361970546070637411e+01;4.780281179995123780e-02
1.375003258178026933e+01;4.692474045345387812e-02
1.388035970285416631e+01;5.327923104891209988e-02
1.401068682392806153e+01;7.146112813553162635e-02
1.414101394500195497e+01;7.409687346534417351e-02
1.427134106607585018e+01;7.591272813747712567e-02
1.440166818714974717e+01;7.001976396577856698e-02
1.453199530822364238e+01;7.042603433797442469e-02
1.466232242929753937e+01;6.812359668847649263e-02
