Energy_keV;Total_attenuation
-6.464225205265217156e-02;0.000000000000000000e+00
6.568486902124329174e-02;0.000000000000000000e+00
1.960119900951387828e-01;-1.157559004923631833e-02
3.263391111690342461e-01;-7.756941110007620037e-03
4.566662322429296816e-01;-9.238530990326176973e-03
5.869933533168251172e-01;-5.085201055395505154e-03
7.173204743907206637e-01;2.335799200518161919e-03
8.476475954646162103e-01;7.512833147560178497e-03
9.779747165385117569e-01;7.123726125457431266e-03
1.108301837612407192e+00;9.543553168549941124e-03
1.238628958686302628e+00;1.452504521599200585e-02
1.368956079760198064e+00;2.446758815325026509e-02
1.499283200834093499e+00;2.486599663570910820e-02
1.629610321907988935e+00;2.398878115316363177e-02
1.759937442981884370e+00;3.302228259093771545e-02
1.890264564055779806e+00;3.906410624810140175e-02
2.020591685129675241e+00;5.100167869711143970e-02
2.150918806203570455e+00;5.309403419388646767e-02
2.281245927277465668e+00;6.059706892267312933e-02
2.411573048351361326e+00;5.803240420329560528e-02
2.541900169425256983e+00;5.565100175383286968e-02
2.672227290499152197e+00;5.478141461823939767e-02
2.802554411573048299e+00;5.222104051199312480e-02
2.932881532646943956e+00;6.255230272973215377e-02
3.063208653720839170e+00;7.415231704701298610e-02
3.193535774794734827e+00;6.999898711208231428e-02
3.323862895868630485e+00;6.399988362219533045e-02
3.454190016942525698e+00;5.369014197214912881e-02
3.584517138016421356e+00;4.909775694680981739e-02
3.714844259090317014e+00;3.783139449576339297e-02
3.845171380164212227e+00;3.593458089858832250e-02
3.975498501238107885e+00;2.599203796133005978e-02
4.105825622312003098e+00;3.859746979686583257e-02
4.236152743385898312e+00;3.691002056003377801e-02
4.366479864459794413e+00;2.787651912225969780e-02
4.496806985533689627e+00;1.677988962152757169e-02
4.627134106607584840e+00;1.566873278229205524e-02
4.757461227681480942e+00;1.588093264553037953e-02
4.887788348755376155e+00;1.732185854689281476e-02
5.018115469829271369e+00;2.982005800604454679e-02
5.148442590903167471e+00;4.363311263545634200e-02
5.278769711977062684e+00;4.656484769775225824e-02
5.409096833050957898e+00;5.750337562322118540e-02
5.539423954124853999e+00;4.574626552513520739e-02
5.669751075198749213e+00;3.045892336548118237e-02
5.800078196272644426e+00;2.671886271134626609e-02
5.930405317346540528e+00;2.048556434059189968e-02
6.060732438420435741e+00;2.794427282534070467e-02
6.191059559494330955e+00;5.097643214964930197e-02
6.321386680568227057e+00;4.962735808828710321e-02
6.451713801642123158e+00;5.666110407498237828e-02
6.582040922716017484e+00;5.751582574294738376e-02
6.712368043789913585e+00;4.451198542495277133e-02
6.842695164863807911e+00;4.707665014433028844e-02
6.973022285937704012e+00;4.356643721066786462e-02
7.103349407011598338e+00;6.008674636572999134e-02
7.233676528085495328e+00;5.346448661648253720e-02
7.364003649159389653e+00;5.286949949388315695e-02
7.494330770233285755e+00;4.820164753564216281e-02
7.624657891307180968e+00;4.119782100917059736e-02
7.754985012381077070e+00;3.733615115198996026e-02
7.885312133454971395e+00;2.914388712067088674e-02
8.015639254528867497e+00;4.256194908109189878e-02
8.145966375602762710e+00;5.075705947666435403e-02
8.276293496676659700e+00;5.834580424244861785e-02
8.406620617750554914e+00;5.769708435246424794e-02
8.536947738824448351e+00;6.782750613512052162e-02
8.667274859898347117e+00;7.423735322381266877e-02
8.797601980972242330e+00;5.877346966690558117e-02
8.927929102046137544e+00;7.109705985716149867e-02
9.058256223120030981e+00;5.777754248195266645e-02
9.188583344193927971e+00;6.014974687086622335e-02
9.318910465267821408e+00;4.638831630184150900e-02
9.449237586341718398e+00;5.403369988122457002e-02
9.579564707415615388e+00;6.458678445071676377e-02
9.709891828489510601e+00;5.999483067065322639e-02
9.840218949563405815e+00;7.162415527637781831e-02
9.970546070637301028e+00;9.184545281021709584e-02
1.010087319171119447e+01;9.660284557608307676e-02
1.023120031278509146e+01;9.876227207827754928e-02
1.036152743385898667e+01;9.032270261991567906e-02
1.049185455493288366e+01;1.012953100240281679e-01
1.062218167600678065e+01;9.063023692275853915e-02
1.075250879708067409e+01;7.842928235739324294e-02
1.088283591815456930e+01;6.922616205664296196e-02
1.101316303922846274e+01;6.848223489775807915e-02
1.114349016030235973e+01;6.584585039444550147e-02
1.127381728137625494e+01;5.751486303563970587e-02
1.140414440245015193e+01;4.953825079289489453e-02
1.153447152352404714e+01;4.860554611463281660e-02
1.166479864459794236e+01;5.057200842336080637e-02
1.179512576567183579e+01;4.691589518191267849e-02
1.192545288674573278e+01;7.362803463004785609e-02
1.205578000781962800e+01;8.186283866650628793e-02
1.218610712889352499e+01;7.943863303722725755e-02
1.231643424996742020e+01;8.247885774260693692e-02
1.244676137104131541e+01;6.160514232025700310e-02
1.257708849211520885e+01;4.755572375918291211e-02
1.270741561318910584e+01;4.135986315103130917e-02
1.283774273426300105e+01;3.432495762305051018e-02
1.296806985533689804e+01;3.005167548665858487e-02
1.309839697641079326e+01;3.032312664318360593e-02
1.322872409748468847e+01;4.002469567082570651e-02
1.335905121855858368e+01;4.911432548028495798e-02
1.348937833963247712e+01;5.342361587477423984e-02
1.361970546070637411e+01;5.894543059988115868e-02
1.375003258178026933e+01;6.061336377474663833e-02
1.388035970285416631e+01;5.009665993837086884e-02
1.401068682392806153e+01;6.150079675488132752e-02
1.414101394500195497e+01;7.563483206675028492e-02
1.427134106607585018e+01;8.534037029417120002e-02
1.440166818714974717e+01;8.612043611167310986e-02
1.453199530822364238e+01;7.454912505850411208e-02
1.466232242929753937e+01;6.146687012506481945e-02
