cadmium yellow (CdS);
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;138
23;119
24;130
25;112
26;130
27;137
28;98
29;104
30;98
31;110
32;113
33;119
34;112
35;111
36;119
37;129
38;122
39;130
40;114
41;134
42;107
43;120
44;97
45;112
46;101
47;107
48;109
49;109
50;119
51;116
52;91
53;108
54;101
55;109
56;93
57;126
58;88
59;106
60;120
61;112
62;106
63;96
64;107
65;107
66;109
67;101
68;106
69;98
70;102
71;103
72;105
73;108
74;102
75;112
76;110
77;105
78;122
79;109
80;113
81;112
82;110
83;114
84;101
85;108
86;104
87;115
88;105
89;108
90;115
91;109
92;117
93;116
94;117
95;119
96;99
97;127
98;123
99;126
100;103
101;110
102;122
103;129
104;127
105;131
106;143
107;120
108;117
109;128
110;116
111;126
112;123
113;133
114;119
115;139
116;121
117;114
118;145
119;131
120;131
121;143
122;146
123;137
124;132
125;132
126;125
127;111
128;136
129;138
130;123
131;139
132;124
133;144
134;152
135;142
136;163
137;161
138;122
139;166
140;153
141;162
142;167
143;175
144;166
145;160
146;168
147;184
148;191
149;172
150;187
151;189
152;167
153;212
154;194
155;198
156;187
157;199
158;186
159;194
160;211
161;192
162;190
163;200
164;197
165;244
166;246
167;252
168;246
169;263
170;266
171;223
172;276
173;220
174;225
175;234
176;243
177;224
178;229
179;223
180;246
181;264
182;261
183;269
184;241
185;268
186;255
187;257
188;276
189;245
190;265
191;291
192;270
193;263
194;275
195;254
196;275
197;287
198;271
199;246
200;274
201;290
202;289
203;261
204;307
205;268
206;312
207;286
208;302
209;327
210;297
211;305
212;337
213;367
214;331
215;320
216;321
217;340
218;352
219;346
220;383
221;327
222;375
223;331
224;341
225;323
226;349
227;318
228;324
229;308
230;347
231;329
232;297
233;324
234;359
235;330
236;321
237;333
238;354
239;365
240;431
241;420
242;470
243;464
244;439
245;440
246;447
247;415
248;485
249;489
250;544
251;552
252;546
253;611
254;591
255;533
256;521
257;514
258;512
259;436
260;482
261;467
262;458
263;499
264;431
265;437
266;419
267;399
268;430
269;416
270;429
271;485
272;527
273;621
274;601
275;657
276;672
277;617
278;653
