cinnabar (HgS);
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;120
23;143
24;137
25;139
26;121
27;121
28;114
29;118
30;112
31;118
32;123
33;132
34;130
35;134
36;130
37;121
38;124
39;119
40;121
41;118
42;127
43;123
44;110
45;112
46;78
47;99
48;122
49;117
50;118
51;105
52;110
53;97
54;100
55;102
56;91
57;117
58;108
59;106
60;117
61;104
62;102
63;98
64;102
65;109
66;96
67;112
68;110
69;123
70;127
71;128
72;125
73;116
74;99
75;136
76;115
77;125
78;123
79;117
80;106
81;119
82;121
83;121
84;99
85;117
86;115
87;111
88;112
89;117
90;123
91;117
92;125
93;123
94;127
95;121
96;105
97;115
98;112
99;108
100;104
101;112
102;134
103;129
104;112
105;126
106;135
107;117
108;144
109;133
110;138
111;149
112;129
113;128
114;111
115;128
116;107
117;130
118;137
119;148
120;137
121;136
122;124
123;126
124;143
125;135
126;145
127;155
128;131
129;136
130;149
131;136
132;153
133;147
134;140
135;148
136;162
137;162
138;151
139;151
140;176
141;177
142;165
143;177
144;166
145;171
146;180
147;182
148;168
149;179
150;191
151;161
152;178
153;192
154;215
155;204
156;195
157;223
158;194
159;204
160;193
161;201
162;205
163;211
164;223
165;198
166;208
167;254
168;240
169;265
170;265
171;252
172;254
173;246
174;250
175;253
176;235
177;218
178;263
179;246
180;234
181;265
182;252
183;283
184;260
185;262
186;255
187;253
188;257
189;249
190;273
191;255
192;279
193;265
194;260
195;271
196;269
197;271
198;277
199;267
200;268
201;264
202;274
203;288
204;289
205;259
206;271
207;264
208;323
209;313
210;306
211;338
212;316
213;353
214;325
215;320
216;334
217;351
218;356
219;356
220;342
221;370
222;349
223;361
224;355
225;346
226;346
227;338
228;332
229;320
230;336
231;316
232;354
233;330
234;328
235;358
236;365
237;339
238;378
239;431
240;418
241;437
242;440
243;452
244;456
245;410
246;451
247;473
248;458
249;494
250;553
251;580
252;586
253;645
254;594
255;531
256;502
257;503
258;459
259;469
260;457
261;491
262;466
263;472
264;494
265;454
266;459
267;450
268;456
269;411
270;473
271;490
272;531
273;566
274;633
275;687
276;670
277;631
278;625
