incident radiation;
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;132
23;138
24;138
25;123
26;136
27;139
28;144
29;125
30;123
31;132
32;131
33;130
34;137
35;132
36;132
37;134
38;127
39;138
40;124
41;120
42;138
43;126
44;114
45;120
46;112
47;134
48;105
49;90
50;128
51;120
52;118
53;115
54;130
55;138
56;112
57;125
58;137
59;108
60;116
61;142
62;130
63;126
64;129
65;125
66;133
67;123
68;119
69;129
70;133
71;104
72;122
73;130
74;133
75;124
76;145
77;134
78;111
79;135
80;119
81;150
82;127
83;117
84;133
85;134
86;140
87;137
88;139
89;132
90;140
91;143
92;126
93;119
94;118
95;138
96;136
97;149
98;133
99;131
100;128
101;130
102;141
103;117
104;129
105;154
106;135
107;124
108;138
109;134
110;143
111;165
112;152
113;158
114;141
115;164
116;128
117;157
118;163
119;145
120;155
121;153
122;158
123;150
124;161
125;168
126;148
127;158
128;161
129;181
130;176
131;176
132;187
133;186
134;181
135;173
136;204
137;178
138;185
139;208
140;197
141;180
142;189
143;213
144;193
145;189
146;181
147;210
148;217
149;219
150;199
151;227
152;231
153;224
154;197
155;218
156;215
157;233
158;225
159;235
160;232
161;229
162;255
163;218
164;251
165;265
166;247
167;267
168;287
169;300
170;308
171;258
172;303
173;267
174;300
175;296
176;267
177;275
178;292
179;282
180;287
181;300
182;280
183;303
184;302
185;277
186;264
187;292
188;303
189;310
190;335
191;293
192;305
193;321
194;298
195;338
196;299
197;315
198;317
199;305
200;335
201;348
202;313
203;292
204;331
205;341
206;328
207;339
208;377
209;341
210;332
211;374
212;345
213;398
214;413
215;378
216;411
217;397
218;372
219;407
220;437
221;461
222;390
223;457
224;407
225;437
226;402
227;385
228;400
229;357
230;382
231;318
232;387
233;370
234;331
235;370
236;384
237;423
238;420
239;449
240;468
241;489
242;498
243;516
244;523
245;494
246;471
247;526
248;532
249;572
250;662
251;637
252;636
253;647
254;632
255;609
256;621
257;563
258;528
259;532
260;514
261;544
262;523
263;555
264;483
265;505
266;503
267;442
268;488
269;506
270;512
271;570
272;590
273;634
274;641
275;734
276;733
277;754
278;669
279;720
