PbCO3 (resembling biacca);
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;125
23;118
24;124
25;114
26;110
27;123
28;113
29;124
30;132
31;113
32;114
33;112
34;108
35;115
36;121
37;108
38;100
39;123
40;112
41;113
42;102
43;102
44;88
45;106
46;84
47;112
48;107
49;99
50;78
51;115
52;111
53;99
54;90
55;112
56;101
57;112
58;89
59;97
60;114
61;116
62;107
63;123
64;99
65;100
66;117
67;104
68;94
69;97
70;104
71;101
72;120
73;104
74;92
75;99
76;115
77;103
78;98
79;110
80;109
81;124
82;105
83;74
84;109
85;100
86;90
87;93
88;102
89;96
90;103
91;121
92;114
93;108
94;122
95;111
96;103
97;111
98;114
99;113
100;95
101;105
102;124
103;104
104;105
105;115
106;109
107;115
108;116
109;127
110;122
111;121
112;114
113;126
114;111
115;121
116;113
117;122
118;117
119;124
120;108
121;128
122;139
123;141
124;122
125;118
126;133
127;128
128;134
129;126
130;135
131;145
132;128
133;127
134;152
135;166
136;137
137;148
138;127
139;140
140;139
141;138
142;160
143;161
144;148
145;161
146;169
147;153
148;179
149;163
150;172
151;158
152;177
153;168
154;158
155;186
156;161
157;188
158;190
159;186
160;183
161;171
162;190
163;183
164;231
165;216
166;215
167;218
168;224
169;221
170;224
171;242
172;251
173;222
174;240
175;226
176;220
177;218
178;225
179;210
180;225
181;230
182;220
183;215
184;231
185;249
186;247
187;228
188;208
189;255
190;237
191;283
192;270
193;260
194;267
195;208
196;272
197;267
198;244
199;261
200;244
201;248
202;232
203;266
204;258
205;268
206;269
207;292
208;258
209;307
210;292
211;302
212;286
213;307
214;327
215;319
216;305
217;340
218;325
219;308
220;352
221;388
222;356
223;349
224;369
225;326
226;323
227;329
228;310
229;353
230;283
231;303
232;319
233;304
234;331
235;326
236;325
237;353
238;352
239;405
240;392
241;403
242;400
243;434
244;437
245;409
246;404
247;425
248;441
249;427
250;447
251;497
252;567
253;569
254;584
255;550
256;496
257;469
258;456
259;499
260;444
261;450
262;502
263;443
264;438
265;455
266;408
267;375
268;398
269;382
270;422
271;453
272;507
273;569
274;558
275;578
276;626
277;652
