madder lake (C14H8O4);
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;119
23;136
24;133
25;138
26;116
27;122
28;128
29;127
30;116
31;122
32;126
33;113
34;121
35;123
36;113
37;122
38;122
39;114
40;123
41;114
42;101
43;142
44;131
45;107
46;107
47;111
48;105
49;93
50;117
51;112
52;131
53;95
54;101
55;94
56;113
57;111
58;116
59;111
60;137
61;99
62;106
63;107
64;101
65;103
66;99
67;110
68;132
69;84
70;131
71;118
72;118
73;112
74;110
75;122
76;124
77;119
78;122
79;123
80;121
81;115
82;119
83;131
84;127
85;109
86;109
87;131
88;119
89;120
90;121
91;112
92;101
93;134
94;137
95;109
96;140
97;138
98;121
99;124
100;114
101;130
102;112
103;122
104;117
105;111
106;134
107;124
108;123
109;127
110;120
111;116
112;149
113;147
114;136
115;139
116;132
117;144
118;145
119;126
120;120
121;144
122;142
123;144
124;138
125;129
126;144
127;116
128;150
129;178
130;154
131;143
132;147
133;147
134;158
135;149
136;161
137;168
138;167
139;162
140;169
141;160
142;169
143;159
144;162
145;174
146;175
147;199
148;164
149;170
150;175
151;183
152;183
153;203
154;205
155;179
156;182
157;202
158;178
159;194
160;209
161;203
162;223
163;247
164;252
165;240
166;238
167;256
168;233
169;241
170;279
171;259
172;261
173;254
174;260
175;251
176;268
177;226
178;238
179;272
180;248
181;266
182;272
183;278
184;274
185;274
186;260
187;296
188;256
189;279
190;276
191;273
192;294
193;273
194;309
195;293
196;270
197;257
198;289
199;318
200;306
201;295
202;277
203;270
204;305
205;272
206;296
207;311
208;300
209;305
210;332
211;319
212;331
213;357
214;350
215;329
216;345
217;374
218;320
219;335
220;357
221;358
222;353
223;370
224;350
225;366
226;357
227;328
228;352
229;342
230;329
231;328
232;308
233;322
234;346
235;360
236;365
237;368
238;398
239;400
240;445
241;426
242;442
243;455
244;461
245;449
246;436
247;457
248;517
249;523
250;598
251;582
252;640
253;636
254;604
255;594
256;533
257;507
258;567
259;498
260;452
261;468
262;501
263;498
264;488
265;463
266;429
267;430
268;442
269;457
270;447
271;469
272;562
273;579
274;597
275;611
276;673
277;637
278;657
