egg;
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;150
23;117
24;114
25;101
26;128
27;112
28;112
29;113
30;146
31;109
32;112
33;121
34;114
35;137
36;106
37;126
38;125
39;139
40;138
41;116
42;119
43;113
44;123
45;98
46;111
47;128
48;110
49;84
50;110
51;104
52;112
53;111
54;120
55;105
56;103
57;115
58;112
59;97
60;118
61;97
62;102
63;114
64;107
65;123
66;111
67;127
68;99
69;114
70;113
71;108
72;118
73;128
74;105
75;98
76;122
77;103
78;100
79;123
80;140
81;122
82;99
83;119
84;119
85;120
86;133
87;126
88;121
89;103
90;113
91;123
92;144
93;119
94;128
95;110
96;124
97;129
98;102
99;131
100;122
101;130
102;124
103;104
104;125
105;114
106;141
107;119
108;116
109;132
110;125
111;127
112;138
113;133
114;97
115;129
116;129
117;131
118;124
119;138
120;128
121;135
122;149
123;142
124;163
125;162
126;144
127;156
128;162
129;147
130;137
131;137
132;173
133;165
134;181
135;158
136;164
137;163
138;165
139;161
140;187
141;190
142;189
143;186
144;170
145;188
146;188
147;160
148;153
149;176
150;184
151;172
152;189
153;221
154;169
155;175
156;196
157;192
158;203
159;208
160;190
161;206
162;211
163;219
164;225
165;228
166;263
167;257
168;284
169;237
170;291
171;269
172;247
173;275
174;275
175;265
176;242
177;240
178;253
179;250
180;247
181;254
182;263
183;264
184;272
185;270
186;249
187;262
188;259
189;269
190;266
191;274
192;291
193;273
194;280
195;294
196;313
197;263
198;244
199;274
200;309
201;282
202;258
203;285
204;300
205;339
206;321
207;299
208;301
209;299
210;327
211;324
212;311
213;316
214;336
215;366
216;365
217;340
218;359
219;328
220;375
221;340
222;341
223;373
224;375
225;393
226;346
227;352
228;350
229;300
230;346
231;343
232;329
233;299
234;304
235;317
236;378
237;339
238;392
239;402
240;413
241;421
242;436
243;488
244;449
245;437
246;461
247;461
248;519
249;506
250;546
251;612
252;670
253;580
254;591
255;588
256;502
257;486
258;450
259;450
260;466
261;480
262;491
263;497
264;518
265;442
266;423
267;403
268;425
269;474
270;459
271;488
272;558
273;572
274;605
275;674
276;660
277;634
278;620
279;633
280;605
