dark naples yellow (Pb2Sb2O7);
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;150
23;126
24;137
25;127
26;100
27;110
28;129
29;121
30;105
31;100
32;125
33;115
34;101
35;109
36;89
37;117
38;105
39;120
40;129
41;116
42;134
43;107
44;107
45;107
46;104
47;123
48;116
49;111
50;110
51;112
52;101
53;100
54;101
55;104
56;91
57;106
58;97
59;91
60;109
61;95
62;113
63;102
64;112
65;111
66;109
67;105
68;92
69;103
70;107
71;116
72;118
73;112
74;118
75;97
76;114
77;115
78;112
79;116
80;104
81;130
82;97
83;106
84;121
85;119
86;98
87;110
88;113
89;115
90;129
91;105
92;133
93;115
94;119
95;95
96;102
97;89
98;101
99;112
100;116
101;118
102;113
103;126
104;134
105;123
106;127
107;123
108;137
109;124
110;123
111;117
112;115
113;107
114;124
115;114
116;146
117;123
118;137
119;131
120;133
121;130
122;118
123;124
124;145
125;128
126;132
127;142
128;133
129;131
130;130
131;142
132;143
133;139
134;159
135;137
136;141
137;167
138;161
139;141
140;152
141;131
142;154
143;168
144;179
145;144
146;168
147;159
148;189
149;175
150;173
151;160
152;151
153;192
154;177
155;196
156;218
157;194
158;186
159;201
160;178
161;187
162;197
163;190
164;194
165;231
166;220
167;235
168;241
169;248
170;264
171;235
172;230
173;262
174;249
175;249
176;249
177;219
178;229
179;240
180;217
181;253
182;254
183;249
184;244
185;256
186;247
187;265
188;249
189;237
190;289
191;278
192;258
193;267
194;253
195;311
196;243
197;278
198;255
199;279
200;234
201;274
202;282
203;298
204;272
205;292
206;289
207;300
208;304
209;321
210;345
211;313
212;302
213;335
214;317
215;341
216;373
217;332
218;355
219;323
220;323
221;374
222;324
223;340
224;379
225;370
226;356
227;322
228;348
229;307
230;332
231;329
232;294
233;322
234;323
235;325
236;317
237;360
238;375
239;385
240;398
241;434
242;475
243;454
244;474
245;406
246;399
247;430
248;471
249;461
250;496
251;562
252;600
253;601
254;579
255;539
256;480
257;471
258;444
259;457
260;492
261;437
262;458
263;435
264;462
265;448
266;489
267;421
268;413
269;431
270;435
271;509
272;461
273;555
274;603
275;632
276;619
